Ticker,Name,Modified,AsOfDate,Sector,SubSector,AnalystRecommendationValue,Interpretation,FactorScore,RevenueGrowth,RevenueGrowthPoints,BalanceSheetStrength,BalanceSheetStrengthPoints,ProfitabilityTrend,ProfitabilityTrendPoints,FCFGenerationCapitalIntensity,FCFGenerationCapitalIntensityPoints,RegulatoryEnvironment,RegulatoryEnvironmentPoints,Cyclicality,CyclicalityPoints,MarketPosition,MarketPositionPoints,ESG,ESGPoints,QualityOfManagement,QualityOfManagementPoints,AccessToCapital,AccessToCapitalPoints,FundScore,FundPoints,EventRisk,EventRiskPoints,ExpectedIssuance,ExpectedIssuancePoints,RatingsOutlook,RatingsOutlookPoints,Volatility,VolatilityPoints,CreditRisk,CreditRiskPoints,SecondaryLiquidity,SecondaryLiquidityPoints,TechScore,TechPoints,SpreadPerUnitOfRisk,SpreadPerUnitOfRiskPoints,PercentileSpreadVsCorpIndex,PercentileSpreadVsCorpIndexPoints,SpreadToEvent,SpreadToEventPoints,RelativeToBroadSector,RelativeToBroadSectorPoints,RelativeToIndustry,RelativeToIndustryPoints,ValScore,ValPoints
AMT,American Tower Corp,3/31/2016 23:01,3/31/2016 0:00,Consumer & Industrial,Wireless,Underperform,Neutral,53.7,9,0.9,1,0.1,8,0.8,7,0.7,5,0.5,6,0.6,9,0.9,8,0.8,2,0.2,8,0.8,31.5,63,3,0.75,4,0.6,3,0.45,6,0.9,3,0.45,5,0.75,11.7,39,6,1.5,7,1.75,3,0.75,,,5,1.25,10.5,52.5
AMT,American Tower Corp,12/31/2015 23:01,6/9/2015 0:00,Consumer & Industrial,Wireless,Underperform,Neutral,53.7,9,0.9,1,0.1,8,0.8,7,0.7,5,0.5,6,0.6,9,0.9,8,0.8,2,0.2,8,0.8,31.5,63,3,0.75,4,0.6,3,0.45,6,0.9,3,0.45,5,0.75,11.7,39,6,1.5,7,1.75,3,0.75,,,5,1.25,10.5,52.5
AMT,American Tower Corp,9/30/2015 23:01,6/9/2015 0:00,Consumer & Industrial,Wireless,Underperform,Neutral,52.65,9,0.9,1,0.1,8,0.8,7,0.7,5,0.5,6,0.6,9,0.9,8,0.8,2,0.2,8,0.8,25.2,63,3,0.75,4,0.6,3,0.45,6,0.9,3,0.45,5,0.75,11.7,39,6,1.5,7,1.75,3,0.75,,,5,1.25,15.75,52.5
AMT,American Tower Corp,6/30/2015 23:01,6/9/2015 0:00,Consumer & Industrial,Wireless,Underperform,Neutral,52.65,9,0.9,1,0.1,8,0.8,7,0.7,5,0.5,6,0.6,9,0.9,8,0.8,2,0.2,8,0.8,25.2,63,3,0.75,4,0.6,3,0.45,6,0.9,3,0.45,5,0.75,11.7,39,6,1.5,7,1.75,3,0.75,,,5,1.25,15.75,52.5
AMT,American Tower Corp,3/31/2015 23:01,3/26/2015 0:00,Consumer & Industrial,Wireless,Underperform,Neutral,52.65,9,0.9,1,0.1,8,0.8,7,0.7,5,0.5,6,0.6,9,0.9,8,0.8,2,0.2,8,0.8,25.2,63,3,0.75,4,0.6,3,0.45,6,0.9,3,0.45,5,0.75,11.7,39,6,1.5,7,1.75,3,0.75,,,5,1.25,15.75,52.5
AMT,American Tower Corp,12/31/2014 23:01,6/16/2014 0:00,Consumer & Industrial,Wireless,Underperform,Neutral,53.1,9,0.9,1,0.1,8,0.8,7,0.7,5,0.5,6,0.6,9,0.9,8,0.8,2,0.2,8,0.8,25.2,63,3,0.75,5,0.75,3,0.45,6,0.9,3,0.45,5,0.75,12.15,40.5,6,1.5,7,1.75,3,0.75,,,5,1.25,15.75,52.5
AMT,American Tower Corp,9/30/2014 23:01,6/16/2014 0:00,Consumer & Industrial,Wireless,Underperform,Neutral,53.1,9,0.9,1,0.1,8,0.8,7,0.7,5,0.5,6,0.6,9,0.9,8,0.8,2,0.2,8,0.8,25.2,63,3,0.75,5,0.75,3,0.45,6,0.9,3,0.45,5,0.75,12.15,40.5,6,1.5,7,1.75,3,0.75,,,5,1.25,15.75,52.5
AMT,American Tower Corp,6/30/2014 23:01,6/16/2014 0:00,Consumer & Industrial,Wireless,Underperform,Neutral,53.1,9,0.9,1,0.1,8,0.8,7,0.7,5,0.5,6,0.6,9,0.9,8,0.8,2,0.2,8,0.8,25.2,63,3,0.75,5,0.75,3,0.45,6,0.9,3,0.45,5,0.75,12.15,40.5,6,1.5,7,1.75,3,0.75,,,5,1.25,15.75,52.5
AMT,American Tower Corp,3/31/2014 23:01,3/4/2014 0:00,Consumer & Industrial,Wireless,Underperform,Neutral,53.65,9,0.9,2,0.2,8,0.8,7,0.7,5,0.5,6,0.6,8,0.8,8,0.8,3,0.3,8,0.8,25.6,64,3,0.45,5,0.75,3,0.45,4,1,3,0.45,5,0.75,11.55,38.5,6,1.5,7,1.75,3,0.75,,,6,1.5,16.5,55
AMT,American Tower Corp,12/31/2013 23:01,9/6/2013 0:00,Consumer & Industrial,Wireless,Neutral,Modest Overweight,55.65,8,0.8,2,0.2,9,0.9,8,0.8,5,0.5,6,0.6,8,0.8,7,0.7,5,0.5,8,0.8,26.4,66,4,0.6,3,0.45,4,0.6,3,0.75,4,0.6,5,0.75,11.25,37.5,6,1.5,7,1.75,4,1,,,7,1.75,18,60
AMT,American Tower Corp,10/1/2013 9:21,9/6/2013 0:00,Consumer & Industrial,Wireless,Neutral,Modest Overweight,55.65,8,0.8,2,0.2,9,0.9,8,0.8,5,0.5,6,0.6,8,0.8,7,0.7,5,0.5,8,0.8,26.4,66,4,0.6,3,0.45,4,0.6,3,0.75,4,0.6,5,0.75,11.25,37.5,6,1.5,7,1.75,4,1,,,7,1.75,18,60
AMT,American Tower Corp,6/30/2013 23:01,3/14/2013 0:00,Consumer & Industrial,Wireless,Outperform,Modest Overweight,62.1,8,0.8,4,0.4,9,0.9,7,0.7,5,0.5,8,0.8,7,0.7,7,0.7,5,0.5,8,0.8,27.2,68,4,0.6,5,0.75,5,0.75,7,1.75,5,0.75,5,0.75,21.4,53.5,7,1.75,7,1.75,6,1.5,,,7,1.75,13.5,67.5
AMT,American Tower Corp,3/31/2013 23:01,3/14/2013 0:00,Consumer & Industrial,Wireless,Outperform,Modest Overweight,63.5,8,0.8,4,0.4,9,0.9,7,0.7,5,0.5,8,0.8,7,0.7,7,0.7,5,0.5,8,0.8,27.2,68,4,0.6,5,0.75,5,0.75,7,1.75,5,0.75,5,0.75,16.05,53.5,7,1.75,7,1.75,6,1.5,,,7,1.75,20.25,67.5
BALN,BAE Systems Plc,3/31/2018 23:00,5/15/2017 0:00,Consumer & Industrial,Aerospace/Defense,Neutral,Modest Overweight,54.95,6,0.6,4,0.4,5,0.5,5,0.5,5,0.5,7,0.7,8,0.8,5,0.5,5,0.5,6,0.6,22.4,56,5,1.25,5,0.75,5,0.75,9,1.35,8,1.2,3,0.45,17.25,57.5,9,1.8,5,1,3,1.2,5,0.5,6,0.6,15.3,51
BALN,BAE Systems Plc,12/31/2017 23:00,5/15/2017 0:00,Consumer & Industrial,Aerospace/Defense,Neutral,Modest Overweight,54.95,6,0.6,4,0.4,5,0.5,5,0.5,5,0.5,7,0.7,8,0.8,5,0.5,5,0.5,6,0.6,22.4,56,5,1.25,5,0.75,5,0.75,9,1.35,8,1.2,3,0.45,17.25,57.5,9,1.8,5,1,3,1.2,5,0.5,6,0.6,15.3,51
BALN,BAE Systems Plc,9/30/2017 23:00,5/15/2017 0:00,Consumer & Industrial,Aerospace/Defense,Neutral,Modest Overweight,54.95,6,0.6,4,0.4,5,0.5,5,0.5,5,0.5,7,0.7,8,0.8,5,0.5,5,0.5,6,0.6,22.4,56,5,1.25,5,0.75,5,0.75,9,1.35,8,1.2,3,0.45,17.25,57.5,9,1.8,5,1,3,1.2,5,0.5,6,0.6,15.3,51
BALN,BAE Systems Plc,6/30/2017 23:00,5/15/2017 0:00,Consumer & Industrial,Aerospace/Defense,Neutral,Modest Overweight,54.95,6,0.6,4,0.4,5,0.5,5,0.5,5,0.5,7,0.7,8,0.8,5,0.5,5,0.5,6,0.6,22.4,56,5,1.25,5,0.75,5,0.75,9,1.35,8,1.2,3,0.45,17.25,57.5,9,1.8,5,1,3,1.2,5,0.5,6,0.6,15.3,51
BALN,BAE Systems Plc,4/3/2017 7:46,12/21/2016 0:00,Consumer & Industrial,Aerospace/Defense,Outperform,Modest Overweight,58.3,6,0.6,4,0.4,5,0.5,5,0.5,5,0.5,7,0.7,8,0.8,7,0.7,5,0.5,7,0.7,29.5,59,6,1.5,8,1.2,5,0.75,6,0.9,8,1.2,3,0.45,18,60,9,1.8,5,1,5,2,,0,6,0.6,10.8,54
BALN,BAE Systems Plc,12/31/2016 23:00,12/21/2016 0:00,Consumer & Industrial,Aerospace/Defense,Outperform,Modest Overweight,59.6,6,0.6,4,0.4,5,0.5,5,0.5,5,0.5,7,0.7,8,0.8,7,0.7,5,0.5,7,0.7,23.6,59,6,1.5,8,1.2,5,0.75,6,0.9,8,1.2,3,0.45,18,60,9,1.8,5,1,5,2,,,6,1.2,18,60
BALN,BAE Systems Plc,9/30/2016 23:00,12/3/2015 0:00,Consumer & Industrial,Aerospace/Defense,Outperform,Modest Overweight,58.4,5,0.5,4,0.4,5,0.5,5,0.5,5,0.5,7,0.7,8,0.8,7,0.7,5,0.5,7,0.7,29,58,6,1.5,8,1.2,3,0.45,4,0.6,8,1.2,3,0.45,16.2,54,9,1.8,6,1.2,6,2.4,,,6,1.2,13.2,66
BALN,BAE Systems Plc,6/30/2016 23:01,12/3/2015 0:00,Consumer & Industrial,Aerospace/Defense,Outperform,Modest Overweight,58.7,5,0.5,4,0.4,5,0.5,5,0.5,5,0.5,7,0.7,8,0.8,7,0.7,5,0.5,7,0.7,29,58,6,1.5,8,1.2,3,0.45,4,0.6,8,1.2,3,0.45,16.2,54,9,2.25,6,1.5,6,1.5,,,6,1.5,13.5,67.5
BALN,BAE Systems Plc,3/31/2016 23:00,12/3/2015 0:00,Consumer & Industrial,Aerospace/Defense,Outperform,Modest Overweight,58.7,5,0.5,4,0.4,5,0.5,5,0.5,5,0.5,7,0.7,8,0.8,7,0.7,5,0.5,7,0.7,29,58,6,1.5,8,1.2,3,0.45,4,0.6,8,1.2,3,0.45,16.2,54,9,2.25,6,1.5,6,1.5,,,6,1.5,13.5,67.5
BALN,BAE Systems Plc,12/31/2015 23:01,12/3/2015 0:00,Consumer & Industrial,Aerospace/Defense,Outperform,Modest Overweight,58.7,5,0.5,4,0.4,5,0.5,5,0.5,5,0.5,7,0.7,8,0.8,7,0.7,5,0.5,7,0.7,29,58,6,1.5,8,1.2,3,0.45,4,0.6,8,1.2,3,0.45,16.2,54,9,2.25,6,1.5,6,1.5,,,6,1.5,13.5,67.5
BG,Bunge Ltd,3/31/2018 23:00,3/23/2018 0:00,Consumer & Industrial,Food and Beverage,Underperform,Neutral,46,6,0.6,3,0.3,5,0.5,5,0.5,5,0.5,4,0.4,6,0.6,10,1,6,0.6,5,0.5,22,55,5,1.25,6,0.9,3,0.45,2,0.3,4,0.6,2,0.3,11.4,38,5,1,7,1.4,4,1.6,1,0.1,1,0.1,12.6,42
BG,Bunge Ltd,12/31/2017 23:00,3/22/2017 0:00,Consumer & Industrial,Food and Beverage,Underperform,Neutral,53.1,6,0.6,4,0.4,5,0.5,5,0.5,5,0.5,4,0.4,6,0.6,10,1,7,0.7,5,0.5,22.8,57,4,1,4,0.6,5,0.75,7,1.05,8,1.2,2,0.3,14.7,49,8,1.6,5,1,4,1.6,5,0.5,5,0.5,15.6,52
BG,Bunge Ltd,9/30/2017 23:00,3/22/2017 0:00,Consumer & Industrial,Food and Beverage,Underperform,Neutral,53.1,6,0.6,4,0.4,5,0.5,5,0.5,5,0.5,4,0.4,6,0.6,10,1,7,0.7,5,0.5,22.8,57,4,1,4,0.6,5,0.75,7,1.05,8,1.2,2,0.3,14.7,49,8,1.6,5,1,4,1.6,5,0.5,5,0.5,15.6,52
BG,Bunge Ltd,6/30/2017 23:00,3/22/2017 0:00,Consumer & Industrial,Food and Beverage,Underperform,Neutral,53.1,6,0.6,4,0.4,5,0.5,5,0.5,5,0.5,4,0.4,6,0.6,10,1,7,0.7,5,0.5,22.8,57,4,1,4,0.6,5,0.75,7,1.05,8,1.2,2,0.3,14.7,49,8,1.6,5,1,4,1.6,5,0.5,5,0.5,15.6,52
BG,Bunge Ltd,4/3/2017 7:46,3/22/2017 0:00,Consumer & Industrial,Food and Beverage,Underperform,Neutral,52.6,6,0.6,4,0.4,5,0.5,5,0.5,5,0.5,4,0.4,6,0.6,10,1,7,0.7,5,0.5,28.5,57,4,1,4,0.6,5,0.75,7,1.05,8,1.2,2,0.3,14.7,49,8,1.6,5,1,4,1.6,5,0.5,5,0.5,9.4,47
BG,Bunge Ltd,12/31/2016 23:00,2/16/2016 0:00,Consumer & Industrial,Food and Beverage,Underperform,Neutral,53.05,4,0.4,4,0.4,6,0.6,4,0.4,5,0.5,4,0.4,6,0.6,6,0.6,7,0.7,6,0.6,20.8,52,4,1,4,0.6,5,0.75,4,0.6,2,0.3,2,0.3,10.65,35.5,10,2,8,1.6,4,1.6,,,10,2,21.6,72
